,Company Name,Filing Type,Date,Weblink
0,FMC CORP,10-K,2019-02-28,https://www.sec.gov/Archives/edgar/data/37785/000003778519000039/0000037785-19-000039-index.htm
1,FMC CORP,10-K,2018-02-28,https://www.sec.gov/Archives/edgar/data/37785/000003778518000019/0000037785-18-000019-index.htm
2,FMC CORP,10-K,2017-02-28,https://www.sec.gov/Archives/edgar/data/37785/000003778517000011/0000037785-17-000011-index.htm
3,FMC CORP,10-K,2016-02-26,https://www.sec.gov/Archives/edgar/data/37785/000003778516000081/0000037785-16-000081-index.htm
4,FMC CORP,10-K,2015-02-27,https://www.sec.gov/Archives/edgar/data/37785/000003778515000008/0000037785-15-000008-index.htm
5,FMC CORP,10-K,2014-02-18,https://www.sec.gov/Archives/edgar/data/37785/000003778514000006/0000037785-14-000006-index.htm
6,FMC CORP,10-K,2013-02-19,https://www.sec.gov/Archives/edgar/data/37785/000003778513000008/0000037785-13-000008-index.htm
7,FMC CORP,10-K,2012-02-21,https://www.sec.gov/Archives/edgar/data/37785/000003778512000004/0000037785-12-000004-index.htm
8,FMC CORP,10-K,2011-02-22,https://www.sec.gov/Archives/edgar/data/37785/000119312511041464/0001193125-11-041464-index.htm
9,FMC CORP,10-K,2010-02-22,https://www.sec.gov/Archives/edgar/data/37785/000119312510036348/0001193125-10-036348-index.htm
10,FMC CORP,10-K,2009-02-23,https://www.sec.gov/Archives/edgar/data/37785/000119312509035095/0001193125-09-035095-index.htm
11,FMC CORP,10-K/A,2008-03-18,https://www.sec.gov/Archives/edgar/data/37785/000119312508059827/0001193125-08-059827-index.htm
12,FMC CORP,10-K,2008-02-25,https://www.sec.gov/Archives/edgar/data/37785/000119312508036999/0001193125-08-036999-index.htm
13,FMC CORP,10-K/A,2007-03-28,https://www.sec.gov/Archives/edgar/data/37785/000119312507066639/0001193125-07-066639-index.htm
14,FMC CORP,10-K,2007-02-26,https://www.sec.gov/Archives/edgar/data/37785/000119312507039630/0001193125-07-039630-index.htm
15,FMC CORP,10-K/A,2006-03-30,https://www.sec.gov/Archives/edgar/data/37785/000119312506068846/0001193125-06-068846-index.htm
16,FMC CORP,10-K,2006-03-08,https://www.sec.gov/Archives/edgar/data/37785/000119312506048313/0001193125-06-048313-index.htm
17,FMC CORP,10-K,2005-03-14,https://www.sec.gov/Archives/edgar/data/37785/000119312505049229/0001193125-05-049229-index.htm
18,FMC CORP,10-K/A,2004-03-30,https://www.sec.gov/Archives/edgar/data/37785/000119312504053471/0001193125-04-053471-index.htm
19,FMC CORP,10-K,2004-03-11,https://www.sec.gov/Archives/edgar/data/37785/000119312504039049/0001193125-04-039049-index.htm
20,FMC CORP,10-K,2003-03-11,https://www.sec.gov/Archives/edgar/data/37785/000093176303000502/0000931763-03-000502-index.htm
21,FMC CORP,10-K,2002-03-11,https://www.sec.gov/Archives/edgar/data/37785/000093066102000678/0000930661-02-000678-index.htm
22,FMC CORP,10-K405,2001-03-29,https://www.sec.gov/Archives/edgar/data/37785/000095013101500385/0000950131-01-500385-index.htm
23,FMC CORP,10-K405,2000-03-30,https://www.sec.gov/Archives/edgar/data/37785/0000950131-00-002172-index.html
24,FMC CORP,10-K,1999-03-25,https://www.sec.gov/Archives/edgar/data/37785/0000950131-99-001733-index.html
25,FMC CORP,10-K,1998-03-18,https://www.sec.gov/Archives/edgar/data/37785/0000950131-98-001790-index.html
26,FMC CORP,10-K,1997-03-26,https://www.sec.gov/Archives/edgar/data/37785/0000950131-97-002068-index.html
27,FMC CORP,10-K,1996-03-15,https://www.sec.gov/Archives/edgar/data/37785/0000950131-96-001103-index.html
28,FMC CORP,10-K405,1995-03-29,https://www.sec.gov/Archives/edgar/data/37785/0000950131-95-000767-index.html
29,FMC CORP,10-K/A,1994-04-05,https://www.sec.gov/Archives/edgar/data/37785/0000037785-94-000005-index.html
30,FMC CORP,10-K,1994-03-31,https://www.sec.gov/Archives/edgar/data/37785/0000037785-94-000004-index.html
