,Name of Issuer,CUSIP,Shares
0,<CAPTION>,,
1,Item 1,Item 3,Item 5
2,<S>,<C>,<C>
3,Name of Issuer,CUSIP No.,Quantity
4,,,
5,ABBOTT LABS,002824100,"6,825"
6,ABBVIE INC,00287Y109,"6,825"
7,AERCAP HOLDINGS NV,N00985106,"85,810"
8,AEROPOSTALE,007865108,"67,987"
9,ALBANY MOLECULAR RESH INC,012423109,"114,083"
10,ALCATEL-LUCENT,013904305,"441,740"
11,ALLSCRIPTS HEALTHCARE SOLUTN,01988P108,"190,749"
12,ALTEVA,02153V102,"21,875"
13,ASSURED GUARANTY LTD,G0585R106,"89,600"
14,AT&T INC,00206R102,"13,950"
15,AUTOBYTEL INC,05275N205,"266,423"
16,AXT INC,00246W103,"288,999"
17,BEBE STORES INC,075571109,"305,808"
18,BENCHMARK ELECTRS INC,08160H101,"83,288"
19,BOSTON SCIENTIFIC CORP,101137107,"66,525"
20,BOULDER BRANDS INC,101405108,"141,450"
21,BROADRIDGE FINL SOLUTIONS IN,11133T103,"66,200"
22,BROCADE COMMUNICATIONS SYS I,111621306,"406,400"
23,BROOKLINE BANCORP INC DEL,11373M107,"201,674"
24,CAL MAINE FOODS INC,128030202,"17,398"
25,CALLAWAY GOLF CO,131193104,"346,608"
26,CHRISTOPHER & BANKS CORP,171046105,"103,163"
27,CNO FINL GROUP INC,12621E103,"264,478"
28,COCA COLA BOTTLING CO CONS,191098102,"31,895"
29,COCA COLA ENTERPRISES INC NE,19122T109,"13,550"
30,COEUR D ALENE MINES CORP IDA,192108504,"55,291"
31,COMVERSE INC,20585P105,"34,368"
32,CONSOLIDATED EDISON INC,209115104,"5,100"
33,COSI INC,22122P101,"811,498"
34,COVANTA HLDG CORP,22282E102,"74,400"
35,COWEN GROUP INC NEW,223622101,"627,160"
36,CRYOLIFE INC,228903100,"235,288"
37,CTS CORP,126501105,"188,312"
38,DOLE FOOD CO INC NEW,256603101,"166,940"
39,DYNEGY INC NEW,26817R108,"52,708"
40,ELECTRO SCIENTIFIC INDS,285229100,"66,723"
41,EMCOR GROUP INC,29084Q100,"64,434"
42,EMULEX CORP,292475209,"204,207"
43,ENDURANCE SPECIALTY HLDGS LT,G30397106,"44,258"
44,EXELON CORP,30161N101,"14,680"
45,EXPRESS INC,30219E103,"42,860"
46,FIRSTMERIT CORP,337915102,"139,243"
47,FRESH DEL MONTE PRODUCE INC,G36738105,"57,836"
48,GAIAM INC,36268Q103,"265,370"
49,GENERAL ELECTRIC CO,369604103,"17,325"
50,GENWORTH FINL INC COM,37247D106,"319,300"
51,GFI GROUP INC,361652209,"35,603"
52,GLOBAL POWER EQUIPMENT GRP I,37941P306,"136,566"
53,HARDINGE INC,412324303,"99,510"
54,HARTFORD FINL SVCS GROUP INC,416515104,"21,725"
55,HOOPER HOLMES INC,439104100,"1,939,156"
56,HUNTSMAN CORP,447011107,"27,950"
57,IAC INTERACTIVECORP,44919P508,"45,799"
58,INTRALINKS HLDGS INC,46118H104,"267,377"
59,IPASS INC,46261V108,"641,245"
60,JANUS CAP GROUP INC,47102X105,"234,668"
61,JOHNSON & JOHNSON,478160104,"2,500"
62,JOURNAL COMMUNICATIONS INC,481130102,"414,619"
63,KEYNOTE SYS INC,493308100,"79,395"
64,KROGER CO,501044101,"9,525"
65,LSI INDS INC,50216C108,"256,891"
66,MATRIX SVC CO,576853105,"79,282"
67,METLIFE INC,59156R108,"12,900"
68,MICROSOFT CORP,594918104,"8,960"
69,MONDELEZ INTL INC,609207105,"8,350"
70,MONTPELIER RE HOLDINGS LTD,G62185106,"57,600"
71,MORGAN STANLEY,617446448,"18,375"
72,MYERS INDS INC,628464109,"44,108"
73,NISOURCE INC,65473P105,"14,700"
74,NN INC,629337106,"125,571"
75,OMEGA PROTEIN CORP,68210P107,"195,806"
76,OWENS & MINOR INC NEW,690732102,"74,151"
77,PAN AMERICAN SILVER CORP,697900108,"55,400"
78,PFIZER INC,717081103,"11,230"
79,PHOENIX COS INC NEW,71902E604,"40,358"
80,PNM RES INC,69349H107,"23,939"
81,PRGX GLOBAL INC,69357C503,"184,127"
82,REAL GOODS SOLAR INC,75601N104,"63,300"
83,REALNETWORKS INC,75605L708,"122,332"
84,SANMINA CORPORATION,801056102,"169,989"
85,SEABOARD CORP,811543107,755
86,SEACHANGE INTL INC,811699107,"179,724"
87,SELECTIVE INS GROUP INC,816300107,"71,984"
88,SPRINT NEXTEL CORP,852061100,"41,700"
89,STEWART INFORMATION SVCS COR,860372101,"95,464"
90,TELLABS INC,879664100,"80,171"
91,TETRA TECHNOLOGIES INC DEL,88162F105,"233,686"
92,TRINITY BIOTECH PLC,896438306,"161,507"
93,TRIQUINT SEMICONDUCTOR INC,89674K103,"182,575"
94,TRUSTCO BK CORP N Y,898349105,"60,750"
95,UNS ENERGY CORP,903119105,"52,500"
96,VASCULAR SOLUTIONS INC,92231M109,"54,917"
97,VISHAY INTERTECHNOLOGY INC COM,928298108,"99,900"
98,VISTEON CORP,92839U206,"35,288"
99,XEROX CORP,984121103,"50,100"
100,YAHOO INC,984332106,"32,300"
101,,,
102,,,
103,,,
